unique(rios_data_token2it$it_tokens_2w),dei_related
re introduce,FALSE
introduce students,TRUE
help students,TRUE
students humanize,TRUE
humanize researchers,TRUE
used active,TRUE
active learning,TRUE
classroom activities,FALSE
possible see,FALSE
see active,TRUE
lesson challenged,FALSE
challenged students,TRUE
time allowing,FALSE
research area,FALSE
particularly interested,TRUE
students directly,TRUE
directly approached,FALSE
approached questions,FALSE
social aspects,TRUE
education related,FALSE
interviews students,TRUE
students asked,TRUE
asked researchers,FALSE
personal journeys,TRUE
uncovered elements,TRUE
students might,TRUE
might not,FALSE
not otherwise,FALSE
student engagement,TRUE
contribute verbally,FALSE
think pair,FALSE
pair share,FALSE
share activities,FALSE
writing via,FALSE
via quick,FALSE
quick writes,FALSE
different roles,FALSE
roles producing,FALSE
producing giving,FALSE
giving feedback,FALSE
feedback revising,FALSE
revising within,FALSE
small groups,FALSE
participate fully,TRUE
fully using,TRUE
inclusive teaching,TRUE
teaching laid,FALSE
kimberly tanner,FALSE
low stakes,FALSE
collaborative teaching,TRUE
teaching strategies,FALSE
group work,FALSE
particularly careful,TRUE
make sure,FALSE
student conceived,FALSE
conceived norms,FALSE
revisited throughout,FALSE
especially important,FALSE
inclusion equity,TRUE
introduced challenging,FALSE
challenging descriptions,FALSE
racial bias,TRUE
not encountered,FALSE
student choice,FALSE
interest drive,TRUE
drive motivation,TRUE
wide range,FALSE
explore anything,FALSE
flexible rubric,FALSE
natural science,FALSE
science including,FALSE
life sciences,FALSE
sciences based,FALSE
research interests,TRUE
interests students,TRUE
students formed,TRUE
formed groups,FALSE
previous groups,FALSE
thus within,FALSE
student interests,TRUE
strengths became,TRUE
became immediately,FALSE
immediately clear,FALSE
lesson explicitly,FALSE
explicitly addresses,TRUE
identity plays,TRUE
scientists lives,TRUE
used principles,FALSE
ensure participation,TRUE
still not,FALSE
not universal,TRUE
universal see,TRUE
see diversity,TRUE
providing students,TRUE
also gained,FALSE
gained agency,TRUE
self efficacy,TRUE
exploration group,FALSE
lesson plan,FALSE
work can,FALSE
prohibitively difficult,FALSE
extracurricular pressures,TRUE
work commutes,TRUE
family therefore,TRUE
recommend using,TRUE
using smaller,FALSE
smaller groups,FALSE
students rather,TRUE
larger groups,FALSE
students within,TRUE
within groups,FALSE
better able,FALSE
find times,FALSE
meet outside,FALSE
also recommend,TRUE
recommend forming,TRUE
forming groups,FALSE
mind groups,FALSE
different levels,FALSE
previous experience,FALSE
competency levels,FALSE
subject matter,FALSE
underrepresented backgrounds,TRUE
whenever possible,FALSE
possible groups,FALSE
one representative,FALSE
underrepresented background,TRUE
prevent feelings,TRUE
lecture course,FALSE
laboratory setting,FALSE
self teaching,FALSE
home situation,FALSE
lesson employs,FALSE
employs instructional,FALSE
instructional materials,FALSE
widely available,FALSE
students can,TRUE
can work,FALSE
depth depending,FALSE
individual backgrounds,TRUE
backgrounds needs,TRUE
needs learning,TRUE
learning abilities,TRUE
styles poppitmeiosis,FALSE
poppitmeiosis encourages,TRUE
encourages learning,TRUE
learning styles,FALSE
offers ways,FALSE
can quickly,FALSE
quickly engage,TRUE
talk listen,TRUE
task poppitmeiosis,FALSE
poppitmeiosis thus,FALSE
thus naturally,FALSE
naturally creates,FALSE
improves understanding,FALSE
thereby enhances,FALSE
enhances appreciation,FALSE
sexually reproducing,TRUE
reproducing organisms,FALSE
organisms plants,FALSE
plants animals,FALSE
broad range,FALSE
expose students,TRUE
high throughput,FALSE
throughput datasets,FALSE
potential case,FALSE
case studies,FALSE
studies can,FALSE
handouts formatted,FALSE
ada accessibility,TRUE
screen reader,TRUE
reader friendly,TRUE
physical handouts,FALSE
editable electronic,FALSE
electronic documents,TRUE
used google,FALSE
